epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.5493,0.6019,0.9454,0.9862
2,0.6918,0.7670,0.8105,0.7634
3,0.8116,0.8155,0.6024,0.5748
4,0.8343,0.8738,0.5303,0.6366
5,0.8599,0.8641,0.4684,0.7385
6,0.8667,0.8932,0.4507,0.7147
7,0.8633,0.8350,0.4483,0.9103
8,0.8758,0.8738,0.4131,0.8792
9,0.8652,0.8544,0.4196,1.1016
10,0.8807,0.8641,0.3893,0.9579
11,0.8696,0.8350,0.4285,1.2389
12,0.8874,0.7961,0.3649,1.3122
13,0.8729,0.8447,0.4149,0.9800
14,0.8937,0.8350,0.3498,1.0471
15,0.9029,0.8447,0.3222,1.1354
16,0.8676,0.8835,0.4180,0.6542
17,0.8686,0.8738,0.3951,0.6996
18,0.8826,0.8932,0.3733,0.7374
19,0.8754,0.8932,0.4070,0.6849
20,0.8976,0.8738,0.3693,0.6844
21,0.8937,0.8835,0.3687,0.6607
22,0.8899,0.8835,0.3606,0.6937
23,0.8961,0.8835,0.3456,0.6323
24,0.8947,0.8932,0.3406,0.6353
25,0.8918,0.8835,0.3439,0.6476
26,0.9058,0.8835,0.3150,0.6674
27,0.9019,0.8738,0.3409,0.6630
28,0.9072,0.8932,0.3110,0.6585
29,0.9145,0.8932,0.3106,0.6656
30,0.9097,0.8835,0.3148,0.6911
31,0.9024,0.9029,0.3304,0.6709
32,0.9140,0.8932,0.2791,0.6756
33,0.9082,0.8932,0.2986,0.6713
34,0.9193,0.8835,0.2904,0.6896
35,0.9130,0.9029,0.2981,0.6455
36,0.9150,0.9126,0.2788,0.6582
37,0.9159,0.8932,0.2776,0.7224
38,0.9116,0.8835,0.2994,0.6729
39,0.9246,0.9029,0.2647,0.6761
40,0.9082,0.8932,0.3055,0.6770
41,0.9227,0.8835,0.2782,0.6841
42,0.9101,0.8835,0.2963,0.6885
43,0.8981,0.8835,0.3315,0.7192
44,0.9145,0.8932,0.2997,0.6704
45,0.9174,0.8932,0.2891,0.6885
46,0.9155,0.8835,0.2905,0.6936
47,0.9164,0.9126,0.2836,0.6648
48,0.9174,0.8932,0.2776,0.6883
49,0.9140,0.8932,0.2889,0.6622
50,0.9174,0.8835,0.2919,0.6672
51,0.9135,0.9029,0.2986,0.6730
52,0.9169,0.8835,0.2744,0.7156
53,0.9251,0.8932,0.2601,0.6709
54,0.9140,0.9029,0.2921,0.6583
55,0.9208,0.8932,0.2715,0.6951
56,0.9179,0.9029,0.2838,0.6176
57,0.9159,0.8932,0.2628,0.6488
58,0.9261,0.8932,0.2617,0.6777
59,0.9251,0.8932,0.2727,0.6387
60,0.9246,0.9029,0.2684,0.6362
61,0.9300,0.8835,0.2536,0.6912
62,0.9232,0.9029,0.2653,0.6656
63,0.9203,0.8932,0.2661,0.6901
64,0.9261,0.8835,0.2478,0.6509
65,0.9140,0.8835,0.2769,0.6980
66,0.9222,0.8835,0.2650,0.6775
67,0.9295,0.9029,0.2540,0.6577
68,0.9227,0.9029,0.2581,0.6695
69,0.9184,0.9029,0.2908,0.6673
70,0.9242,0.8835,0.2667,0.6887
71,0.9232,0.8932,0.2533,0.6768
72,0.9198,0.8932,0.2778,0.6738
