epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.4831,0.6602,0.9644,1.0349
2,0.5314,0.6117,0.9621,1.0357
3,0.6087,0.4660,0.9676,1.0298
4,0.3623,0.3981,0.9610,1.0275
5,0.3430,0.3981,0.9637,1.0272
6,0.4952,0.6505,0.9577,1.0266
7,0.5700,0.6699,0.9619,1.0222
8,0.5290,0.6699,0.9633,1.0222
9,0.5242,0.5922,0.9707,1.0250
10,0.4976,0.5728,0.9589,1.0276
11,0.4928,0.5728,0.9633,1.0156
12,0.5314,0.4078,0.9626,1.0096
13,0.4855,0.5437,0.9532,0.9913
14,0.5338,0.6699,0.9471,0.9550
15,0.6667,0.6019,0.9398,0.9306
16,0.5700,0.6893,0.9621,0.9662
17,0.6618,0.6311,0.9604,1.0128
18,0.5942,0.6990,0.9565,1.0088
19,0.5507,0.5243,0.9614,1.0056
20,0.5121,0.6019,0.9477,0.9979
21,0.5604,0.6699,0.9511,0.9644
22,0.5821,0.6796,0.9572,0.9412
23,0.6280,0.6796,0.9536,0.9646
24,0.6280,0.6796,0.9563,0.9748
25,0.5507,0.5243,0.9534,0.9505
26,0.4251,0.5243,0.9493,0.9430
27,0.5797,0.6796,0.9432,0.9637
28,0.6884,0.6699,0.9474,0.9303
